           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
Mar 02 22:30:22     43.9      756722      300     0.2%    227.5     4.0%     0.1%     0.0%     0.0%    99.5%     0.3%
Mar 02 22:31:36     57.5     2172886      300    14.8%    240.6     2.8%     1.7%     0.0%     0.0%    83.3%     0.1%
Mar 02 22:32:36     62.6     3410766      300    11.7%    240.5     2.9%     1.4%     0.0%     0.0%    86.8%     0.2%
Mar 02 22:33:36     64.1     4560226      300    12.2%    240.5     2.9%     1.4%     0.0%     0.0%    86.2%     0.2%
Mar 02 22:34:36     63.5     5577056      300    10.0%    240.4     2.9%     1.2%     0.0%     0.0%    88.6%     0.2%
Mar 02 22:35:44     63.5     6770726      300    13.0%    240.6     2.8%     1.5%     0.0%     0.0%    85.4%     0.2%
Mar 02 22:36:45     63.7     7875976      300    12.1%    240.5     2.8%     1.4%     0.0%     0.0%    86.3%     0.1%
Mar 02 22:37:45     64.7     9069646      300    10.6%    240.5     2.8%     1.3%     0.0%     0.0%    88.0%     0.2%
Mar 02 22:38:47     64.3    10129915      300     9.5%    240.4     2.8%     1.1%     0.0%     0.0%    89.2%     0.2%
Mar 02 22:39:47     64.2    11184691      300     9.0%    240.4     2.8%     1.1%     0.0%     0.0%    89.7%     0.2%
Mar 02 22:40:48     64.5    12327365      300     9.6%    240.5     2.8%     1.2%     0.0%     0.0%    89.0%     0.2%
Mar 02 22:41:50     64.2    13382141      300     8.9%    240.5     2.8%     1.1%     0.0%     0.0%    89.9%     0.2%
Mar 02 22:42:50     64.2    14436917      300     8.3%    240.5     2.8%     1.0%     0.0%     0.0%    90.5%     0.2%
Mar 02 22:43:50     64.1    15491693      300     7.7%    240.4     2.8%     0.9%     0.0%     0.0%    91.1%     0.2%
Mar 02 22:44:51     64.0    16546469      300     7.2%    240.4     2.8%     0.9%     0.0%     0.0%    91.6%     0.2%
Mar 02 22:45:53     63.8    17601245      300     6.8%    240.4     2.8%     0.9%     0.0%     0.0%    92.1%     0.2%
Mar 02 22:46:55     63.7    18656021      300     6.4%    240.4     2.8%     0.8%     0.0%     0.0%    92.5%     0.2%
Mar 02 22:47:58     63.5    19710797      300     6.1%    240.3     2.8%     0.8%     0.0%     0.0%    92.9%     0.2%
Mar 02 22:49:00     63.5    20809522      300     6.4%    240.2     2.8%     0.8%     0.0%     0.0%    92.6%     0.2%
Mar 02 22:50:00     63.9    21996145      300     6.7%    240.1     2.9%     0.8%     0.0%     0.0%    92.2%     0.2%
Mar 02 22:51:00     64.0    23094870      300     6.4%    240.1     2.9%     0.8%     0.0%     0.0%    92.5%     0.2%
Mar 02 22:52:00     64.0    24193595      300     7.0%    240.1     2.9%     0.9%     0.0%     0.0%    91.9%     0.2%
Mar 02 22:53:01     64.1    25292320      300     7.0%    240.1     2.9%     0.9%     0.0%     0.0%    91.9%     0.2%
Mar 02 22:54:06     63.9    26391045      300     7.2%    240.0     2.9%     0.9%     0.0%     0.0%    91.7%     0.2%
Mar 02 22:55:08     63.8    27445821      300     7.1%    240.0     2.9%     0.9%     0.0%     0.0%    91.8%     0.2%
Mar 02 22:56:09     64.1    28632444      300     7.4%    240.0     2.9%     0.9%     0.0%     0.0%    91.5%     0.2%
Mar 02 22:57:12     64.0    29731169      300     7.6%    240.0     3.0%     0.9%     0.0%     0.0%    91.2%     0.2%
Mar 02 22:58:12     64.0    30785945      300     7.9%    240.0     3.0%     1.0%     0.0%     0.0%    90.9%     0.2%
Mar 02 22:59:14     64.2    32016517      300     8.1%    239.9     3.0%     1.0%     0.0%     0.0%    90.7%     0.2%
Mar 02 23:00:14     64.2    33071293      300     7.9%    239.9     3.0%     1.0%     0.0%     0.0%    91.0%     0.2%
Mar 02 23:01:14     64.3    34170018      300     7.6%    239.9     3.0%     0.9%     0.0%     0.0%    91.3%     0.2%
Mar 02 23:02:17     64.2    35268743      300     7.8%    239.9     3.0%     1.0%     0.0%     0.0%    91.1%     0.2%
Mar 02 23:03:18     64.2    36323519      300     7.6%    239.9     3.0%     0.9%     0.0%     0.0%    91.3%     0.1%
