           Time    Speed        Read     Read   Mapped   Mapped   Mapped   Mapped Unmapped Unmapped Unmapped Unmapped
                    M/hr      number   length   unique   length   MMrate    multi   multi+       MM    short    other
Mar 02 22:00:05     43.2      756722      300     0.3%    230.0     3.9%     0.1%     0.0%     0.0%    99.6%     0.0%
Mar 02 22:01:19     57.1     2172886      300    15.3%    240.0     3.1%     1.8%     0.0%     0.0%    82.8%     0.0%
Mar 02 22:02:19     59.1     3233926      300    12.4%    240.0     3.1%     1.5%     0.0%     0.0%    86.1%     0.1%
Mar 02 22:03:36     61.1     4648646      300     8.7%    239.9     3.1%     1.1%     0.0%     0.0%    90.1%     0.1%
Mar 02 22:04:36     63.9     5930736      300     6.8%    239.8     3.1%     0.9%     0.0%     0.0%    92.2%     0.1%
Mar 02 22:05:36     64.3     7035986      300     7.9%    240.0     3.0%     1.0%     0.0%     0.0%    91.1%     0.1%
Mar 02 22:06:37     64.4     8141236      300     8.6%    240.0     3.0%     1.0%     0.0%     0.0%    90.3%     0.1%
Mar 02 22:07:47     63.4     9246486      300     9.1%    240.1     3.0%     1.1%     0.0%     0.0%    89.7%     0.1%
Mar 02 22:08:48     64.1    10437558      300     8.2%    240.0     3.0%     1.0%     0.0%     0.0%    90.7%     0.1%
Mar 02 22:09:48     64.0    11492334      300     8.6%    239.9     3.0%     1.1%     0.0%     0.0%    90.2%     0.1%
Mar 02 22:10:50     64.5    12678957      300     9.1%    240.0     3.0%     1.1%     0.0%     0.0%    89.7%     0.1%
Mar 02 22:12:00     64.0    13821631      300     9.3%    240.0     3.0%     1.1%     0.0%     0.0%    89.5%     0.1%
Mar 02 22:13:00     64.5    15008254      300     8.6%    240.0     3.0%     1.0%     0.0%     0.0%    90.2%     0.1%
Mar 02 22:14:02     64.8    16194877      300     8.9%    240.1     3.0%     1.1%     0.0%     0.0%    89.9%     0.1%
Mar 02 22:15:02     64.9    17293602      300     8.8%    240.1     3.0%     1.1%     0.0%     0.0%    90.0%     0.1%
Mar 02 22:16:02     64.8    18348378      300     9.5%    240.1     3.0%     1.1%     0.0%     0.0%    89.3%     0.1%
Mar 02 22:17:02     64.7    19403154      300     9.0%    240.0     3.0%     1.1%     0.0%     0.0%    89.8%     0.1%
Mar 02 22:18:10     64.3    20501879      300     8.5%    240.0     3.0%     1.0%     0.0%     0.0%    90.3%     0.1%
Mar 02 22:19:11     64.2    21556655      300     8.1%    240.0     3.0%     1.0%     0.0%     0.0%    90.8%     0.1%
Mar 02 22:20:11     64.6    22787227      300     8.3%    240.0     3.0%     1.0%     0.0%     0.0%    90.6%     0.1%
Mar 02 22:21:14     64.8    23973850      300     8.0%    240.0     3.0%     1.0%     0.0%     0.0%    90.9%     0.1%
Mar 02 22:22:22     64.5    25072575      300     7.7%    240.0     3.0%     1.0%     0.0%     0.0%    91.2%     0.1%
Mar 02 22:23:22     64.9    26303147      300     8.0%    239.7     3.0%     1.0%     0.0%     0.0%    90.9%     0.1%
Mar 02 22:24:22     65.0    27445821      300     7.6%    239.7     3.0%     0.9%     0.0%     0.0%    91.2%     0.2%
Mar 02 22:25:26     65.0    28588495      300     8.6%    239.9     2.9%     1.1%     0.0%     0.0%    90.1%     0.2%
Mar 02 22:26:27     65.4    29906965      300     9.7%    240.0     2.8%     1.2%     0.0%     0.0%    89.0%     0.2%
Mar 02 22:27:31     65.4    31049639      300    10.2%    240.1     2.7%     1.2%     0.0%     0.0%    88.4%     0.2%
Mar 02 22:28:33     65.3    32104415      300     9.9%    240.1     2.8%     1.2%     0.0%     0.0%    88.8%     0.2%
Mar 02 22:29:33     65.3    33203140      300     9.7%    240.1     2.8%     1.2%     0.0%     0.0%    89.0%     0.2%
Mar 02 22:30:33     65.6    34433712      300     9.9%    240.1     2.8%     1.2%     0.0%     0.0%    88.8%     0.2%
Mar 02 22:31:42     65.4    35620335      300     9.8%    240.1     2.8%     1.2%     0.0%     0.0%    88.9%     0.2%
Mar 02 22:32:42     65.8    36894856      300    10.0%    240.1     2.8%     1.2%     0.0%     0.0%    88.6%     0.2%
Mar 02 22:33:51     65.6    38081479      300    10.2%    240.1     2.8%     1.2%     0.0%     0.0%    88.4%     0.2%
Mar 02 22:34:52     65.8    39268102      300     9.9%    240.1     2.8%     1.2%     0.0%     0.0%    88.8%     0.2%
Mar 02 22:35:52     65.9    40454725      300     9.8%    240.1     2.8%     1.2%     0.0%     0.0%    88.9%     0.2%
Mar 02 22:36:57     65.8    41597399      300     9.7%    240.1     2.8%     1.2%     0.0%     0.0%    88.9%     0.1%
Mar 02 22:37:59     65.9    42784022      300    10.0%    240.1     2.8%     1.2%     0.0%     0.0%    88.7%     0.1%
Mar 02 22:38:59     66.0    43926696      300     9.7%    240.1     2.8%     1.2%     0.0%     0.0%    89.0%     0.1%
Mar 02 22:39:59     66.0    45069370      300     9.5%    240.0     2.8%     1.1%     0.0%     0.0%    89.2%     0.1%
Mar 02 22:41:00     66.0    46168095      300     9.6%    240.0     2.8%     1.1%     0.0%     0.0%    89.1%     0.1%
